Order Date,Sales,Isolation,Rolling Mean,Rolling Std,Z,Z Anomaly
2015-01-04,304.508,Anomaly,,,,False
2015-01-11,4619.108,Normal,,,,False
2015-01-18,4130.533,Normal,,,,False
2015-01-25,3092.544,Normal,3036.67325,1929.4625663372994,0.028956638483046363,False
2015-02-01,2527.9139999999998,Normal,3592.52475,953.3629678904663,-1.11668985040996,False
2015-02-08,968.534,Anomaly,2679.88125,1319.9096560207893,-1.2965639293520292,False
2015-02-15,2771.054,Normal,2340.0115,943.1084566253949,0.4570444650049525,False
2015-02-22,224.912,Anomaly,1623.1035,1227.4462774887545,-1.139106065693217,False
2015-03-01,2289.643,Normal,1563.53575,1173.4951624886446,0.6187560658197654,False
2015-03-08,4030.7279999999996,Normal,2329.08425,1583.2482624550444,1.0747801152558139,False
2015-03-15,4139.602,Normal,2671.22125,1837.9727544022292,0.7989132300699239,False
2015-03-22,37703.665,Anomaly,12040.9095,17129.486138228636,1.4981626006122442,False
2015-03-29,3998.777,Normal,12468.193,16823.756002701914,-0.5034200447652595,False
2015-04-05,10363.902,Normal,14051.486499999999,16045.001816487205,-0.2298276149904068,False
2015-04-12,8418.293,Normal,15121.15925,15288.741667993967,-0.4384184385842581,False
2015-04-19,2198.37,Normal,6244.8355,3790.746987241486,-1.0674586073982744,False
2015-04-26,5660.104,Normal,6660.16725,3545.7212926417355,-0.282047901530045,False
2015-05-03,4974.812,Normal,5312.8947499999995,2554.6439359591755,-0.13234045858256244,False
2015-05-10,6332.464,Normal,4791.4375,1815.3943032420643,0.8488659996607468,False
2015-05-17,3967.87,Normal,5233.8125,1009.6948769688153,-1.2537871874723785,False
2015-05-24,6241.9839999999995,Normal,5379.282499999999,1126.7194978596356,0.7656754867904787,False
2015-05-31,6523.233,Normal,5766.38775,1204.7288689909926,0.6282286989884186,False
2015-06-07,8569.948,Normal,6325.758750000001,1883.4400296038925,1.1915374074702958,False
2015-06-14,8683.282,Normal,7504.61175,1301.4783862747393,0.9056395115202355,False
2015-06-21,11139.4446,Normal,8728.976900000001,1888.8302288322823,1.2761695906837562,False
2015-06-28,5143.957,Normal,8384.1579,2464.041386287755,-1.3149945118744868,False
2015-07-05,3158.3999999999996,Normal,7031.2708999999995,3566.8527018037944,-1.085795019805962,False
2015-07-12,6290.629,Normal,6433.10765,3393.8929095266226,-0.04198089150074945,False
2015-07-19,1387.6860000000001,Anomaly,3995.168,2167.0256447636734,-1.2032538730220523,False
2015-07-26,21590.079999999998,Normal,8106.69875,9214.670768646247,1.4632515462059075,False
2015-08-02,3255.66,Normal,8131.013749999999,9197.373242425992,-0.5300811026686165,False
2015-08-09,13454.076000000001,Normal,9921.8755,9414.426095809398,0.3751902095840206,False
2015-08-16,3187.942,Normal,10371.9395,8899.391284136591,-0.8072459419562407,False
2015-08-23,4366.4980000000005,Normal,6066.044,4954.903389202801,-0.3430028532349328,False
2015-08-30,4901.8925,Normal,6477.602125,4705.765007430863,-0.3348466450219679,False
2015-09-06,4234.85,Normal,4172.795625000001,717.1448648048623,0.08652976273752574,False
2015-09-13,29959.137,Anomaly,10865.594375,12732.29665960679,1.4996149662122042,False
